Stage,Unit,Mean,Median,Std,P5,P95,N,Note
1. Feature extraction (per sample),ms,0.02602900018246146,0.017949998436961323,0.020983466778646865,0.016400000822613947,0.05845499945280599,200,
2. RF inference (batch=1),ms,25.16862000051333,25.275899995904183,3.8834453311544723,23.456085002908374,27.336765002837634,200,
2. RF inference (batch=16),ms,17.56549499994435,14.02849999794853,5.234661222788973,13.508724997518584,26.04195000058098,200,
2. RF inference (batch=256),ms,25.177344500370964,24.79375000257278,1.93147415569355,23.963985001319088,26.827050000065356,200,
2. RF inference (batch=4096),ms,31.433875000184344,35.119700001814635,5.483854638389086,24.154905002433225,36.76604999527626,200,
3. Persistence filter delay (2 x 1s poll),ms,2000.0,2000.0,0.0,2000.0,2000.0,200,Analytical: polls-1 polling intervals
4. Git commit,ms,101.92316649983695,98.0146000001696,12.301312614800324,91.2397499952931,125.49422999836675,200,Local git repo
5. Kubernetes reconciliation (est.),ms,3091.6680027557195,3052.065550362884,1501.3145464155496,421.83543778558226,5523.741968641992,200,"Kubernetes controller-runtime default sync period is 10 min by default, but resource-change events trigger immediate reconciliation in ~0.5-5 s (upstream benchmarks)."
6. Terraform apply (est.),ms,1523.9553705150802,1498.3411611644142,498.7346623348629,695.0758701468491,2331.894748595179,200,Terraform apply on a single OpenROADM NETCONF resource averages 1-2 s per Sgambelluri et al. (2020) ECOC paper.
