label,n_samples,n_approaching,MAE_all,RMSE_all,R2_all,MAE_approaching,RMSE_approaching,R2_approaching,label_name
0,134390,1780,17.075029373168945,76.10740380582233,0.4528498649597168,33.46236038208008,33.4764813665878,,No failure
1,134390,890,25.265676498413086,123.59209464757444,-1.866546630859375,34.43661880493164,34.43668471131113,,ECL
2,134390,80990,135.4954833984375,235.2018249025717,0.6134118437767029,201.0692901611328,283.47949661307075,-0.40777552127838135,EDFA
3,134390,111250,137.2646484375,247.55247234172396,0.4774339199066162,154.181396484375,259.2570665623215,-0.8631988763809204,NLI
