label,n_samples,n_approaching,MAE_all,RMSE_all,R2_all,MAE_approaching,RMSE_approaching,R2_approaching,label_name
0,134390,1780,46.07731246948242,142.97454564755574,-0.9309462308883667,51.039669036865234,51.042656506133426,,No failure
1,134390,890,47.31916809082031,149.47416948673774,-3.1928558349609375,51.58932113647461,51.58934907032652,,ECL
2,134390,80990,149.4608154296875,239.42511714260473,0.5994040369987488,216.57078552246094,295.50208861360016,-0.5297175645828247,EDFA
3,134390,111250,142.84999084472656,240.86319379473485,0.505293607711792,159.64173889160156,253.38774172451593,-0.7797918319702148,NLI
