Model,n_seeds,MAE_mean,MAE_std,MAE_CI_lower,MAE_CI_upper,RMSE_mean,RMSE_std,R2_mean,R2_std,MAE_approaching_mean,MAE_approaching_std,R2_approaching_mean,R2_approaching_std
LSTM,3,81.59546915690105,4.245083389909324,71.05009741863304,92.14084089516905,194.52939511712555,7.9148898395918,0.7360822161038717,0.021232389755042304,166.49573771158853,5.092204333249602,-0.5307802756627401,0.038585090999299076
CNN,3,87.11927032470703,14.968862429649755,49.9345546616722,124.30398598774187,191.20063763163338,13.537947100566173,0.744467039903005,0.03532898721233917,169.80701192220053,22.641268492721238,-0.4453001817067464,0.15422927709180123
