Model,n_seeds,MAE_mean,MAE_std,MAE_CI_lower,MAE_CI_upper,RMSE_mean,RMSE_std,R2_mean,R2_std,MAE_approaching_mean,R2_approaching_mean,MAE_approaching_std,R2_approaching_std
Simple Threshold,1,441.7021484375,0.0,441.7021484375,441.7021484375,499.0582850479491,0.0,-0.7350887060165405,0.0,156.26693725585938,0.0740008950233459,,
Linear Extrapolation,1,438.108154296875,0.0,438.108154296875,438.108154296875,497.6253924891695,0.0,-0.7251394987106323,0.0,146.71368408203125,0.1431627869606018,,
Moving Average,1,436.8357849121094,0.0,436.8357849121094,436.8357849121094,497.8190402897423,0.0,-0.7264825105667114,0.0,142.069091796875,0.1666135787963867,,
Random Forest v4,10,73.23334649476915,0.0366726466040613,73.20711246376007,73.25958052577823,145.87149630083647,0.0741179446477357,0.8517617993620034,0.0001506319060696,104.83364643048944,0.2816843433516699,0.0872973290997289,0.000753732993087
XGBoost,10,72.74729537963867,0.0490934328997637,72.71217605337515,72.7824147059022,141.59395512574787,0.0377993267944195,0.8603282392024993,7.457740337042684e-05,103.97683410644532,0.3129708051681518,0.0717574364800506,0.0007059425375706
LSTM,3,81.59546915690105,4.245083389909324,71.05009741863304,92.14084089516903,194.52939511712557,7.9148898395918,0.7360822161038717,0.0212323897550423,166.49573771158853,-0.5307802756627401,5.092204333249602,0.038585090999299
CNN,3,87.11927032470703,14.968862429649755,49.9345546616722,124.30398598774188,191.20063763163336,13.537947100566171,0.744467039903005,0.0353289872123391,169.80701192220053,-0.4453001817067464,22.64126849272124,0.1542292770918012
