Model,n_seeds,MAE_mean,MAE_std,MAE_CI_lower,MAE_CI_upper,RMSE_mean,R2_mean,MAE_approaching_mean,R2_approaching_mean
XGBoost,10,72.747,0.049,72.712,72.782,141.594,0.86,103.977,0.313
Random Forest v4,10,73.233,0.037,73.207,73.26,145.871,0.852,104.834,0.282
LSTM,3,81.595,4.245,71.05,92.141,194.529,0.736,166.496,-0.531
CNN,3,87.119,14.969,49.935,124.304,191.201,0.744,169.807,-0.445
Moving Average,1,436.836,0.0,436.836,436.836,497.819,-0.726,142.069,0.167
Linear Extrapolation,1,438.108,0.0,438.108,438.108,497.625,-0.725,146.714,0.143
Simple Threshold,1,441.702,0.0,441.702,441.702,499.058,-0.735,156.267,0.074
